"row ID","UniSMILES","pIC50","SD","hERG_class"
"Row93","C1NCC1C(Oc1ccccc1)c1ccc2ccccc2c1",6.08,0.0,"active"
"Row94","C1c2cc(cnc2O[C@]11CN2CCC1CC2)-c1ccoc1",5.8,0.0,"active"
"Row95","CC#CC(CC(O)=O)c1ccc(Oc2ccc(cc2OC(F)F)C(F)(F)F)cc1F",4.6,0.0,"inactive"
"Row96","CC#CCn1c(N2CCCNCC2)c(C#N)c2n(C)c(=O)n(Cc3c(cnc4ccccc34)C#N)c(=O)c12",5.36,0.0,"active"
"Row97","CC#CCn1c(N2CCCNCC2)c(C#N)c2n(C)c(=O)n(Cc3nc(C)c4ccccc4n3)c(=O)c12",4.92,0.0,"inactive"
"Row98","CC#CCn1c(N2CCCNCC2)c(C#N)c2n(C)c(=O)n(Cc3ncc4ccccc4c3C#N)c(=O)c12",4.92,0.0,"inactive"
"Row99","CC#CCn1c(N2CCCNCC2)c(C#N)c2n(C)c(=O)n(Cc3nccc4ccccc34)c(=O)c12",5.234999999999999,0.33234018715768826,"active"
"Row100","CC#CCn1c(N2CCC[C@@H](N)C2)c(C#N)c2n(C)c(=O)n(Cc3nc(C)c4ccccc4n3)c(=O)c12",4.66,0.0,"inactive"
"Row101","CC#CCn1c(N2CCC[C@H](N)C2)c(C#N)c2n(C)c(=O)n(Cc3nccc4ccccc34)c(=O)c12",4.55,0.0,"inactive"
"Row102","CC#CCn1c(cc(=O)n(Cc2ccc3ccc(Cl)cc3n2)c1=O)N1CCC[C@@H](N)C1",4.0,0.0,"inactive"
"Row103","CC#C[C@H]([C@H]1OC(=O)NC1=O)c1ccc(Oc2ccc(cc2OC(F)F)C(F)(F)F)cc1",5.47,0.0,"active"
"Row104","CC#Cc1cc(cs1)-c1n[nH]c-2c1Cc1cc(CN3CCN(C)CC3)ccc-21",5.85,0.0,"active"
"Row105","CC#Cc1cncc(c1)-c1cc(ccc1O)C1(N=C(C)C(N)=N1)C1CC1",4.61,0.0,"inactive"
"Row106","CC#Cc1cncc(c1)-c1cc2c(OCC3(CC3)C22COC(N)=N2)cc1F",5.37,8.429369702178807E-8,"active"
"Row107","CC#Cc1cncc(c1)-c1ccc2OC(CC3CC3)C3(COC3)C3(COC(N)=N3)c2c1",5.28,8.429369702178807E-8,"active"
"Row108","CC#Cc1cncc(c1)-c1ccc2OCC3(CC3)C3(COC(N)=N3)c2c1",5.510000000000001,0.20813457185196296,"active"
"Row109","CC#Cc1cncc(c1)-c1ccc2OCC3(COC3)C3(COC(N)=N3)c2c1",5.03,8.429369702178807E-8,"active"
"Row110","CC#Cc1cncc(c1)-c1ccc2OCC3(COC3)C3(CSC(N)=N3)c2c1",5.219999999999999,0.0,"active"
"Row111","CC#Cc1cncc(c1)-c1cccc(c1)C1(N=C(C)C(N)=N1)C1CC1",4.84,0.0,"inactive"
"Row112","CC#Cc1cncc(c1)-c1cccc(c1)C1(N=C(N)c2c1cccc2F)c1ccnc(c1)C(F)F",5.54,0.0,"active"
"Row113","CC(=C)COc1ccccc1CN1CCC2(CC1)CCN(CC2)C(=O)c1ccncc1",5.795,0.23334523779156663,"active"
"Row114","CC(=O)C1=NN(\C(S1)=C1\S\C(=N/c2nc(cc(-c3ccccc3)c2C#N)-c2ccccc2)N(C1=O)c1ccccc1)c1ccccc1",5.24,0.0,"active"
"Row115","CC(=O)C1=NN2[C@@H](COc3ccc(C)cc23)[C@@]1(CCCN1CCOCC1)c1ccccc1",5.2,0.0,"active"
"Row116","CC(=O)C1=NN2[C@@H](COc3ccc(Cl)cc23)C1(CCCN1CCOCC1)c1ccccc1",5.48,0.0,"active"
"Row117","CC(=O)C1=NN2[C@@H](COc3ccc(F)cc23)[C@@]1(CCCN)c1ccccc1",6.03,0.0,"active"
"Row118","CC(=O)C1=NN2[C@@H](COc3ccc(F)cc23)[C@@]1(CCCN1CCNC(=O)CC1)c1ccccc1",4.77,0.0,"inactive"
"Row119","CC(=O)C1=NN2[C@@H](COc3ccc(F)cc23)[C@@]1(CCCN1CCNCC1)c1ccccc1",5.34,0.0,"active"
"Row120","CC(=O)C1=NN2[C@@H](COc3ccc(F)cc23)[C@@]1(CCCN1CCOCC1)c1ccccc1",5.21,0.0,"active"
"Row121","CC(=O)C1=NN2[C@@H](COc3ccc(F)cc23)[C@@]1(CCCO)c1ccccc1",4.75,0.0,"inactive"
"Row122","CC(=O)C1CCN(CCOc2ccn(n2)-c2ccc(Cl)c(Cl)c2)CC1",5.35,0.0,"active"
"Row123","CC(=O)N1CCC(CC1)C(=O)N(CCCN1CCN(Cc2ccc(F)cc2)CC1)c1ccc(C)c(Cl)c1",5.74,0.0,"active"
"Row124","CC(=O)N1CCC(CC1)C1N[C@H](Cc2c1[nH]c1ccccc21)c1nc(c[nH]1)-c1ccccc1",5.01,0.0,"active"
"Row125","CC(=O)N1CCC(CC1)c1[nH]nc(c1-c1ccncc1)-c1ccc(F)cc1",6.1,0.0,"active"
"Row126","CC(=O)N1CCC(CC1)c1cc(C)c(cc1C(F)(F)F)C(=O)NC(N)=N",5.16,0.0,"active"
"Row127","CC(=O)N1CCC(CC1)n1cc(Nc2ncc(Cl)c(n2)-c2cnc3ccccn23)c(C)n1",5.28,0.0,"active"
"Row128","CC(=O)N1CCC(CC1)n1cc(Nc2ncc(Cl)c(n2)-c2cnc3ccccn23)cn1",5.27,0.0,"active"
"Row129","CC(=O)N1CCC(CC1)n1cc(Nc2ncc(Cl)c(n2)-c2cnn3ccccc23)c(C)n1",5.14,0.0,"active"
"Row130","CC(=O)N1CCC(CC1)n1nc(C)c(Nc2ncc(Cl)c(n2)-c2cnc3ccccn23)c1C",4.57,0.0,"inactive"
"Row131","CC(=O)N1CCC(CC1)n1nc(C)c(Nc2ncc(Cl)c(n2)-c2cnn3ccccc23)c1C",4.64,0.0,"inactive"
"Row132","CC(=O)N1CCC(CC1)n1ncc(Nc2ncc(Cl)c(n2)-c2cnc3ccccn23)c1C",4.68,0.0,"inactive"
"Row133","CC(=O)N1CCN(CC1)[C@H]1C[C@H](C1)n1cc(-c2cccc(OCC34CCC(CC3)O4)c2)c2c(N)ncnc12",4.82,0.0,"inactive"
"Row134","CC(=O)N1CCN(CC1)c1ccc(OC[C@@H]2CO[C@](Cn3ccnc3)(O2)c2ccc(Cl)cc2Cl)cc1",5.72,0.0,"active"
"Row135","CC(=O)N1CCN(CC1)c1cnc2cc(cc(NCc3cccc(c3)[N+]([O-])=O)c2c1)C(F)(F)F",6.34,0.0,"active"
"Row136","CC(=O)N1CCN(CCC[C@]2([C@@H]3COc4ccc(Cl)cc4N3N=C2C(C)=O)c2ccccc2)CC1",5.25,0.0,"active"
"Row137","CC(=O)N1CCN(CCC[C@]2([C@@H]3COc4ccc(F)cc4N3N=C2C(C)=O)c2ccccc2)CC1",5.0,0.0,"active"
"Row138","CC(=O)N1CCN(CCOc2ccc(NC(=O)c3cccc(F)c3)cc2-c2ccnn2C)CC1",5.39,0.0,"active"
"Row139","CC(=O)N1CCN(CCOc2ccc(cc2)C2CCN(CC2)c2ccc3nnc(n3n2)C(F)(F)F)CC1",4.95,0.0,"inactive"
"Row140","CC(=O)N1CCN(Cc2ccc3C[C@H](CCc3c2)N2CCN(CCc3ccc(F)cc3)CC2=O)CC1",4.6,0.0,"inactive"
"Row141","CC(=O)N1CCN2CCCc3c(C)c4c(CC(C)(C)CC4=O)n3-c3ccc(C(N)=O)c(NC[C@H]2C1)c3",4.61,0.0,"inactive"
"Row142","CC(=O)N1CCOc2cc3CCN(CCCSc4nnc(-c5cccc6nc(C)ccc56)n4C)CCc3cc12",5.0,0.0,"active"
"Row143","CC(=O)N1CC[C@@H](CN2CCC[C@@H](Cc3ccc(F)cc3)C2)[C@@H](C1)NC(=O)Nc1nc(C)c(s1)C(C)=O",5.22,0.0,"active"
"Row144","CC(=O)N1C[C@H](C[C@@H]1C(=O)N1CCCN(CC1)C1CCC1)Oc1cccc(F)c1",5.22,0.0,"active"
"Row145","CC(=O)N1Cc2ccccc2CC1CN1CCC2(CCc3ccccc23)CC1",6.3,0.0,"active"
"Row146","CC(=O)N1Cc2nnc(C3CCN(CC3)c3ccccn3)n2-c2ccc(Cl)cc2C1",4.45,0.0,"inactive"
"Row147","CC(=O)N1N=C(C[C@H]1c1cccc(O)c1)c1cc(F)ccc1F",4.58,0.0,"inactive"
"Row148","CC(=O)NC(=O)C1CCC(CC1)C1N=CC(=N1)c1cccc(Br)c1",6.3,0.0,"active"
"Row149","CC(=O)NC1CC2CCC(C1)N2CCc1ccc(Oc2nc3ncccc3s2)cc1",5.225,0.20506096654410672,"active"
"Row150","CC(=O)NC1CCN(CCc2ccc(Oc3nc4ccccc4s3)cc2)CC1",5.05,0.0,"active"
"Row151","CC(=O)NC1CCN(Cc2ccc(Oc3nc4ccccc4s3)cc2)CC1",4.7,0.0,"inactive"
"Row152","CC(=O)NCCNC(=O)c1ccc(O)cc1OC[C@@H](O)CN1CCC2(Cc3cc(Cl)ccc3O2)CC1",5.92,0.0,"active"
"Row153","CC(=O)NCCc1ccccc1-c1ccc([C@@H](CN)Cc2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)c(C)c1",8.22,0.0,"active"
"Row154","CC(=O)NCCc1ccccc1-c1ccc([C@H]2CNCC[C@@H]2c2ccc(F)c(F)c2)c(Cl)c1",5.96,0.0,"active"
"Row155","CC(=O)NCCc1ccccc1-c1ccc([C@H]2CNCC[C@@H]2c2cccnc2)c(Cl)c1",5.32,0.0,"active"
"Row156","CC(=O)NCCc1ccccc1-c1ccc([C@H]2CNCC[C@@H]2c2ccn(C)c(=O)c2)c(Cl)c1",5.24,0.0,"active"
"Row157","CC(=O)NCCc1ccccc1-c1ccc([C@H]2CNCC[C@@]22OC(=O)c3cc(F)c(F)cc23)c(C)c1",4.89,0.0,"inactive"
"Row158","CC(=O)NCCc1ccccc1-c1ccc([C@H]2CNCC[C@@]22OCc3cc(F)c(F)cc23)c(C)c1",5.29,0.0,"active"
